id,en,pl,ua
account,Account,Konto,Aкаунт
login,Login,Login,Логін
loginButton,Login,Zaloguj się,Залогуватися
register,Register,Zarejestruj się,Зареєструватися
gameTitle,Hell Dungeon,Piekielne Podziemie,Пекельне Підземелля
logoff,Logoff,Wyloguj,Вийти
back,Back,Wstecz ,Назад
loginToStart,Please login to start the game,"Zaloguj się, aby rozpocząć grę","Будь ласка, залогуйтеся, щоб почати гру"
enterLogin,Enter login...,Wpisz login...,Введіть логін...
password,Password,Hasło,Пароль
enterPassword,Enter password...,Wprowadź hasło...,Введіть пароль...
fieldsCantEmpty,Fields can not be empty,Pola nie mogą być puste,Поля не можуть бути порожніми
incorrectLoginPassword,Incorrect login or password,Nieprawidłowy login lub hasło,Неправильний логін або пароль
loginUsed,Login is already used,Login jest już używany,Логін уже використовується
passwordDoesntMatch,Password and Confirm does not match,Hasło i potwierdzenie nie pasują,Пароль і підтвердження не збігаються
confirm,Confirm,Potwierdzenie,Підтвердження
confirmPassword,Confirm password...,Potwierdź hasło...,Підтвердіть пароль...
settings,Settings,Ustawienia,Налаштування
musicOn,Music: on,Muzyka: wł,Музика: увімк
musicOff,Music: off,Muzyka: wył,Музика: вимкн
soundOn,Sound: on,Dzwięk: wł,Звук: увімк
soundOff,Sound: off,Dzwięk: wył,Звук: вимкн
newGame,New Game,Nowa Gra,Нова Гра
continue,Continue,Kontynuować,Продовжити
levels,Levels,Poziomy,Рівні
exit,Exit,Wyjście,Вихід
pause,Pause,Pauza,Пауза
play,Play,Grać,Грати
shop,Shop,Sklep,Магазин
reset,Reset,Zresetować,Перепройти
menu,Menu,Menu,Меню
gameOver,GameOver,Koniec Gry,Кінець Гри
win,Win,Wygrana,Перемога
next,Next,Następny,Далі
buy,Buy,Kupić,Купити
sureYouWantReset,"Are you sure, you want to reset your progress and start a new game?",Czy na pewno chcesz zresetować progres i rozpocząć nową grę?,"Ви впевнені, що хочете скинути свій прогрес і почати нову гру?"
yes,Yes,Tak,Так
no,No,Nie,Ні
close,Close,Zamknij,Закрити
page1,"Instruction 

The main character moves with the joystick (lower left corner of the screen): to the right - goes to the right, to the left - goes to the left, down - to sit down, up - to jump.  

PC - The main character moves with “WASD”: D - goes to the right, A - goes to the left, S - to sit down, W - to jump.  

To hit enemies press a gray button (lower right corner of the screen), you can also hit while jumping. 

 

","Instrukcja 

Główny bohater porusza się za pomocą joysticka (lewy dolny róg ekranu): w prawo – schodzi w prawo, w lewo – schodzi w lewo, w dół – siada, w górę – skacze.  

PC - Główny bohater porusza się za pomocą „WASD”: D - idzie w prawo, A - idzie w lewo, S - siada, W - skacze. 

Aby trafić wrogów, naciśnij szary przycisk (prawy dolny róg ekranu), możesz również uderzać podczas skoku. ","Інструкція   

Головний герой рухається за допомогою джойстика (лівий нижній кут екрану): праворуч — йде вправо, ліворуч — йде вліво, вниз — сідає, вгору — стрибає.  

ПК - Головний герой рухається за допомогою «WASD»: D - йде вправо, A - йде ліворуч, S - сідає, W - стрибає. 

Щоб вразити ворогів, натисніть сіру кнопку (нижній правий кут екрана), ви також можете вдарити під час стрибка.  "
page2,"Enemies. 

Goul is the weakest, walks from side to side without noticing the player.  
Wizard, seeing the player, begins to throw fireballs in his direction. 
Angel is the strongest. Seeing the player flies in his direction.

","Wrogowie.  

Wampir jest najsłabszy, chodzi z boku na bok, nie zauważając gracza.  
Czarodziej widząc gracza zaczyna rzucać w jego kierunku kulami ognia.
Anioł jest najsilniejszy. Widząc gracza leci w jego kierunku. ","Вороги.  

Вампір найслабший, він ходить з боку в бік, не помічаючи гравця.  
Чарівник, побачивши гравця, починає кидати в нього вогняні кулі. 
Ангел найсильніший. Побачивши, гравець летить до нього.  "
page3,Enemies dealing damage to the player take away his health. The life bar is in the upper left corner.  ,Wrogowie zadając obrażenia graczowi odbierają mu zdrowie. Pasek życia znajduje się w lewym górnym rogu. ,"Вороги, завдаючи шкоди гравцеві, позбавляють його здоров'я. Панель здоров’я знаходиться у верхньому лівому куті.  "
page4,"After defeating the enemy, a bar of energy is replenished (below the bar of life). When it is full, you can use the blue button in the lower right corner of the screen. It will increase the strength of the hero for a while. 
At later levels, lava appears. The player dies immediately after touching it. 

","Po pokonaniu wroga pasek energii odnawia się (poniżej paska życia). Gdy jest pełny, możesz użyć niebieskiego przycisku w prawym dolnym rogu ekranu. Na chwilę zwiększy siłę bohatera. 

Na późniejszych poziomach pojawia się lawa. Gracz umiera natychmiast po dotknięciu. ","Після перемоги над ворогом смужка енергії оновлюється (нижче панелі здоров’я). Коли вона заповниться, ви можете скористатися синьою кнопкою в нижньому правому куті екрана. Це на деякий час збільшить силу героя. 
Лава з'являється на більш пізніх рівнях. Гравець відразу ж гине при дотику.  "
